Time (ms),GROOV-EPIC:M7_CA.Value
9.16,864.352
9.18,864.352
9.20,864.352
9.22,864.352
9.24,864.352
9.26,864.352
9.28,864.352
9.30,864.352
9.32,864.352
9.34,864.352
9.36,864.352
9.38,864.352
9.40,864.352
9.42,864.352
9.44,864.352
9.46,864.055
9.48,864.055
9.50,864.055
9.52,864.055
9.54,864.055
9.56,864.055
9.58,864.055
9.60,863.648
9.62,863.648
9.64,863.648
9.66,863.648
9.68,863.648
9.70,863.648
9.72,863.648
9.74,863.648
9.76,863.648
9.78,863.648
9.80,863.648
9.82,863.648
9.84,863.648
9.86,863.766
9.88,863.766
9.90,863.766
9.92,863.766
9.94,863.766
9.96,863.766
9.98,863.766
10.00,863.766
10.02,863.766
10.04,863.766
10.06,863.766
10.08,864.055
10.10,864.055
10.12,864.055
10.14,864.055
10.16,864.055
10.18,864.055
10.20,864.055
10.22,864.055
10.24,864.055
10.26,864.055
10.28,864.055
10.30,864.055
10.32,864.055
10.34,864.172
10.36,864.172
10.38,864.172
10.40,864.172
10.42,864.172
10.44,864.172
10.46,864.172
10.48,864.172
10.50,864.172
10.52,864.172
10.54,864.539
10.56,864.539
10.58,864.539
10.60,864.539
10.62,864.539
10.64,864.539
10.66,864.539
10.68,864.539
10.70,864.539
10.72,864.539
10.74,864.539
10.76,864.539
10.78,864.539
10.80,864.539
10.82,864.5
10.84,864.5
10.86,864.5
10.88,864.5
10.90,864.5
10.92,864.5
10.94,864.5
10.96,864.5
10.98,864.5
11.00,864.5
11.02,864.5
11.04,864.5
11.06,864.422
11.08,864.422
11.10,864.422
11.12,864.422
11.14,864.422
11.16,864.422
11.18,864.422
11.20,864.422
11.22,864.422
11.24,864.422
11.26,864.422
11.28,864.484
11.30,864.484
11.32,864.484
11.34,864.484
11.36,864.484
11.38,864.484
11.40,864.484
11.42,864.484
11.44,864.484
11.46,864.484
11.48,864.484
11.50,864.484
11.52,864.484
11.54,864.484
11.56,864.484
11.58,864.484
11.60,864.484
11.62,864.484
11.64,864.484
11.66,864.484
11.68,864.484
11.70,864.484
11.72,864.484
11.74,864.484
11.76,864.484
11.78,864.484
11.80,864.484
11.82,864.547
11.84,864.547
11.86,864.547
11.88,864.547
11.90,864.547
11.92,864.547
11.94,864.547
11.96,864.547
11.98,864.547
12.00,864.547
12.02,864.547
12.04,864.547
12.06,864.547
12.08,864.547
12.10,864.547
12.12,864.547
12.14,864.547
12.16,864.547
12.18,864.547
12.20,864.547
12.22,864.547
12.24,864.547
12.26,864.547
12.28,864.547
12.30,864.547
12.32,864.547
12.34,864.547
12.36,864.547
12.38,864.547
12.40,864.547
12.42,864.547
12.44,864.547
12.46,864.547
12.48,864.547
12.50,864.547
12.52,864.547
12.54,864.547
12.56,864.547
12.58,864.547
12.60,864.547
12.62,864.547
12.64,864.547
12.66,864.547
12.68,864.547
12.70,864.547
12.72,864.547
12.74,864.547
12.76,864.547
12.78,864.547
12.80,864.547
12.82,864.547
12.84,864.547
12.86,864.547
12.88,864.547
12.90,864.547
12.92,864.547
12.94,864.547
12.96,864.547
12.98,864.547
13.00,864.547
13.02,864.547
13.04,864.547
13.06,864.547
13.08,864.547
13.10,864.547
13.12,864.547
13.14,864.547
13.16,864.547
13.18,864.547
13.20,864.547
13.22,864.547
13.24,864.547
13.26,864.547
13.28,864.547
13.30,864.547
13.32,864.547
13.34,864.547
13.36,864.547
13.38,864.547
13.40,864.547
13.42,864.547
13.44,864.547
13.46,864.547
13.48,864.547
13.50,864.547
13.52,864.547
13.54,864.547
13.56,864.547
13.58,864.547
13.60,864.547
13.62,864.547
13.64,864.547
13.66,864.547
13.68,864.547
13.70,864.547
13.72,864.547
13.74,864.547
13.76,864.547
13.78,864.547
13.80,864.547
13.82,864.547
13.84,864.547
13.86,864.547
13.88,864.547
13.90,864.547
13.92,864.547
13.94,864.547
13.96,864.547
13.98,864.547
14.00,864.547
14.02,864.547
14.04,864.547
14.06,864.547
14.08,864.547
14.10,864.547
14.12,864.547
14.14,864.547
14.16,864.547
14.18,864.547
14.20,864.547
14.22,864.547
14.24,864.547
14.26,864.547
14.28,864.547
14.30,864.547
14.32,864.547
14.34,864.547
14.36,864.547
14.38,864.547
14.40,864.547
14.42,864.547
14.44,864.547
14.46,864.547
14.48,864.547
14.50,864.547
14.52,864.547
14.54,864.547
14.56,864.547
14.58,864.547
14.60,864.547
14.62,864.547
14.64,864.547
14.66,864.547
14.68,864.547
14.70,864.547
14.72,864.547
14.74,864.547
14.76,864.547
14.78,864.547
14.80,864.547
14.82,864.547
14.84,864.547
14.86,864.547
14.88,864.547
14.90,864.547
14.92,864.547
14.94,864.547
14.96,864.547
14.98,864.547
15.00,864.547
15.02,864.547
15.04,864.547
15.06,864.547
15.08,864.547
15.10,864.547
15.12,864.547
15.14,864.547
15.16,864.547
15.18,864.547
15.20,864.391
15.22,864.391
15.24,864.391
15.26,864.391
15.28,864.391
15.30,864.391
15.32,864.391
15.34,864.391
15.36,864.391
15.38,864.391
15.40,864.391
15.42,864.391
15.44,864.391
15.46,864.391
15.48,864.391
15.50,864.391
15.52,864.391
15.54,864.391
15.56,864.391
15.58,864.391
15.60,864.391
15.62,864.391
15.64,864.391
15.66,864.391
15.68,864.391
15.70,864.391
15.72,864.391
15.74,864.391
15.76,864.391
15.78,864.391
15.80,864.391
15.82,864.391
15.84,864.391
15.86,864.391
15.88,864.391
15.90,864.391
15.92,864.391
15.94,864.391
15.96,864.391
15.98,864.391
16.00,864.391
16.02,864.391
16.04,864.391
16.06,864.391
16.08,864.391
16.10,864.391
16.12,864.391
16.14,864.391
16.16,864.391
16.18,864.391
16.20,864.391
16.22,864.391
16.24,864.391
16.26,864.391
16.28,864.391
16.30,864.391
16.32,864.391
16.34,864.391
16.36,864.391
16.38,864.328
16.40,864.328
16.42,864.328
16.44,864.328
16.46,864.328
16.48,864.328
16.50,864.328
16.52,864.328
16.54,864.328
16.56,864.328
16.58,864.328
16.60,864.172
16.62,864.172
16.64,864.172
16.66,864.172
16.68,864.172
16.70,864.172
16.72,864.172
16.74,864.172
16.76,864.172
16.78,864.172
16.80,864.172
16.82,864.172
16.84,864.172
16.86,863.961
16.88,863.961
16.90,863.961
16.92,863.961
16.94,863.961
16.96,863.961
16.98,863.961
17.00,863.961
17.02,863.961
17.04,863.961
17.06,863.961
17.08,863.875
17.10,863.875
17.12,863.875
17.14,863.875
17.16,863.875
17.18,863.875
17.20,863.875
17.22,863.875
17.24,863.875
17.26,863.875
17.28,863.875
17.30,863.875
17.32,863.875
17.34,863.875
17.36,863.875
17.38,863.875
17.40,863.875
17.42,863.875
17.44,863.875
17.46,863.875
17.48,863.875
17.50,863.875
17.52,863.875
17.54,863.875
17.56,863.875
17.58,863.875
17.60,863.875
17.62,863.875
17.64,863.875
17.66,863.875
17.68,863.875
17.70,863.875
17.72,863.875
17.74,863.875
17.76,863.875
17.78,863.875
17.80,863.875
17.82,863.875
17.84,863.875
17.86,863.875
17.88,863.875
17.90,863.875
17.92,863.875
17.94,863.875
17.96,863.875
17.98,863.875
18.00,863.875
18.02,863.875
18.04,863.875
18.06,863.875
18.08,863.875
18.10,863.875
18.12,863.875
18.14,863.875
18.16,863.875
18.18,863.875
18.20,863.875
18.22,863.875
18.24,863.875
18.26,863.875
18.28,863.875
18.30,863.875
18.32,863.875
18.34,863.875
18.36,863.875
18.38,863.875
18.40,863.875
18.42,863.875
18.44,863.875
18.46,863.875
18.48,863.875
18.50,863.875
18.52,863.875
18.54,863.875
18.56,863.875
18.58,863.875
18.60,863.875
18.62,864.367
18.64,864.367
18.66,864.367
18.68,864.367
18.70,864.367
18.72,864.367
